"Invoice was successfully voided","Invoice was successfully voided"
"Invoiced","Invoiced"
"Invoices","Invoices"
"Item","Item"
"Item qty declare error","Item qty declare error"
"Items Invoiced","Items Invoiced"
"Items Ordered","Items Ordered"
"Items Refunded","Items Refunded"
"Items Shipped","Items Shipped"
"Items to Invoice","Items to Invoice"
"Items to Refund","Items to Refund"
"Items to Ship","Items to Ship"
"Last Name","Last Name"
"Last ordered items","Last ordered items"
"Link to the new order","Link to the new order"
"Link to the previous order","Link to the previous order"
"Message","Message"
"Message:","Message:"
"Mixed","Mixed"
"My Orders","My Orders"
"My Orders - Details","My Orders - Details"
"New Status","New Status"
"New order options","New order options"
"Newsletter Subscription","Newsletter Subscription"
"No Payment Methods","No Payment Methods"
"No detail for number ""%s""","No detail for number ""%s"""
"No items","No items"
"Notify Customer","Notify Customer"
"Number","Number"
"Order #","Order #"
"Order # %s","Order # %s"
"Order #%s","Order #%s"
"Order #%s - %s","Order #%s - %s"
"Order Comment","Order Comment"
"Order Currency:","Order Currency:"
"Order Date","Order Date"
"Order Date: %s","Order Date: %s"
"Order Details","Order Details"
"Order Grand Total","Order Grand Total"
"Order History","Order History"
"Order Information","Order Information"
"Order Status","Order Status"
"Order Subtotal","Order Subtotal"
"Order Total","Order Total"
"Order Totals","Order Totals"
"Order View","Order View"
"Order not longer exist","Order not longer exist"
"Order not longer exist.","Order not longer exist."
"Order saving error: %s","Order saving error: %s"
"Order update options","Order update options"
"Order was not cancelled.","Order was not cancelled."
"Order was not holded.","Order was not holded."
"Order was not unholded.","Order was not unholded."
"Order was successfully cancelled.","Order was successfully cancelled."
"Order was successfully holded.","Order was successfully holded."
"Order was successfully unholded.","Order was successfully unholded."
"Ordered","Ordered"
"Orders","Orders"
"Orders was canceled","Orders was canceled"
"Orders was holded","Orders was holded"
"Orders was unholded","Orders was unholded"
"Paid","Paid"
"Paid Amount","Paid Amount"
"Partial","Partial"
"Payment Information","Payment Information"
"Payment Method","Payment Method"
"Pending","Pending"
"Please select a customer","Please select a customer"
"Please select a store","Please select a store"
"Please select products to add","Please select products to add"
"Price","Price"
"Print","Print"
"Print All Invoices","Print All Invoices"
"Print Invoice","Print Invoice"
"Processing data problem","Processing data problem"
"Product","Product"
"Product Name","Product Name"
"Purchased From","Purchased From"
"Purchased On","Purchased On"
"Purchased from (store)","Purchased from (store)"
"Qty","Qty"
"Qty Canceled","Qty Canceled"
"Qty Invoiced","Qty Invoiced"
"Qty Ordered","Qty Ordered"
"Qty Shipped","Qty Shipped"
"Qty To Add","Qty To Add"
"Qty to Invoice","Qty to Invoice"
"Quote Lifetime (days)","Quote Lifetime (days)"
"Recent Orders","Recent Orders"
"Recently Viewed","Recently Viewed"
"Refresh","Refresh"
"Refund","Refund"
"Refund Amount","Refund Amount"
"Refund Offline","Refund Offline"
"Refunded","Refunded"
"Remove","Remove"
"Remove Coupon Code","Remove Coupon Code"
"Reorder","Reorder"
"Returned","Returned"
"Row Total","Row Total"
"SKU","SKU"
"Sales","Sales"
"Sales Report","Sales Report"
"Same As Billing Address","Same As Billing Address"
"Select from existing customer addresses:","Select from existing customer addresses:"
"Send Email Copy To","Send Email Copy To"
"Send Order Confirmation Email","Send Order Confirmation Email"
"Ship","Ship"
"Ship to","Ship to"
"Ship to First Name","Ship to First Name"
"Ship to First name","Ship to First name"
"Ship to Last Name","Ship to Last Name"
"Ship to Last name","Ship to Last name"
"Shipment #","Shipment #"
"Shipment Comment","Shipment Comment"
"Shipment Email Copy To","Shipment Email Copy To"
"Shipment Email Sender","Shipment Email Sender"
"Shipment Template","Shipment Template"
"Shipment was successfully created.","Shipment was successfully created."
"Shipments","Shipments"
"Shipped","Shipped"
"Shipping","Shipping"
"Shipping & Handling","Shipping & Handling"
"Shipping Address","Shipping Address"
"Shipping Amount","Shipping Amount"
"Shipping Information","Shipping Information"
"Shipping Method","Shipping Method"
"Shipping Refund","Shipping Refund"
"Shopping Cart","Shopping Cart"
"Signed Up From","Signed Up From"
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"State/Province","State/Province"
"Status","Status"
"Store Credit","Store Credit"
"Submit Comment","Submit Comment"
"Submit Credit Memo","Submit Credit Memo"
"Submit Invoice","Submit Invoice"
"Submit Order","Submit Order"
"Submit Shipment","Submit Shipment"
"Subscribe to Newsletter","Subscribe to Newsletter"
"Subtotal","Subtotal"
"Tax","Tax"
"Tax Amount","Tax Amount"
"Tax Calculation","Tax Calculation"
"Tax Rate for Shipping","Tax Rate for Shipping"
"Telephone","Telephone"
"Template","Template"
"The item %s (SKU %s) doesn\'t exist in the catalog anymore","The item %s (SKU %s) doesn\'t exist in the catalog anymore"
"This order no longer exists.","This order no longer exists."
"Title","Title"
"To","To"
"To Name","To Name"
"To:","To:"
"Total Due","Total Due"
"Total Paid","Total Paid"
"Total Qty","Total Qty"
"Total Refund","Total Refund"
"Total Refunded","Total Refunded"
"Track Order","Track Order"
"Track all shipment(s)","Track all shipment(s)"
"Track all shipments","Track all shipments"
"Track this shipment","Track this shipment"
"Track your order","Track your order"
"Tracking Number","Tracking Number"
"Tracking number can not be empty.","Tracking number can not be empty."
"Unhold","Unhold"
"Unknown State","Unknown State"
"Unknown Status","Unknown Status"
"Update Changes","Update Changes"
"Update Qty\'s","Update Qty\'s"
"View","View"
"View All","View All"
"View Order","View Order"
"Void","Void"
"Wishlist","Wishlist"
"You have placed no orders.","You have placed no orders."
"You need specify carrier.","You need specify carrier."
"ZIP/Post Code","ZIP/Post Code"
